url,WeekID,Week Position,Song,Performer,SongID,Instance,Previous Week Position,Peak Position,Weeks on Chart,Length,BPM
http://www.billboard.com/charts/hot-100/2015-09-05,9/5/2015,10,Shut Up And Dance,WALK THE MOON,Shut Up And DanceWALK THE MOON,2,14,4,41,3:19,128
http://www.billboard.com/charts/hot-100/2015-09-12,9/12/2015,10,Fight Song,Rachel Platten,Fight SongRachel Platten,1,7,6,20,3:24,176
http://www.billboard.com/charts/hot-100/2015-09-19,9/19/2015,10,Where Are U Now,Skrillex & Diplo With Justin Bieber,Where Are U NowSkrillex & Diplo With Justin Bieber,1,13,8,27,4:10,139
http://www.billboard.com/charts/hot-100/2015-09-26,9/26/2015,10,Photograph,Ed Sheeran,PhotographEd Sheeran,1,12,10,18,4:18,108
http://www.billboard.com/charts/hot-100/2015-10-03,10/3/2015,10,Lean On,Major Lazer & DJ Snake Featuring MO,Lean OnMajor Lazer & DJ Snake Featuring MO,1,6,4,24,2:56,98
http://www.billboard.com/charts/hot-100/2015-10-10,10/10/2015,10,Wildest Dreams,Taylor Swift,Wildest DreamsTaylor Swift,2,13,10,5,3:40,140
http://www.billboard.com/charts/hot-100/2015-10-17,10/17/2015,10,Good For You,Selena Gomez Featuring A$AP Rocky,Good For YouSelena Gomez Featuring A$AP Rocky,1,8,5,15,3:29,120
http://www.billboard.com/charts/hot-100/2015-10-24,10/24/2015,10,Good For You,Selena Gomez Featuring A$AP Rocky,Good For YouSelena Gomez Featuring A$AP Rocky,1,10,5,16,3:29,120
http://www.billboard.com/charts/hot-100/2015-10-31,10/31/2015,10,Good For You,Selena Gomez Featuring A$AP Rocky,Good For YouSelena Gomez Featuring A$AP Rocky,1,10,5,17,3:29,120
http://www.billboard.com/charts/hot-100/2015-11-07,11/7/2015,10,Perfect,One Direction,PerfectOne Direction,1,,10,1,3:50,100
http://www.billboard.com/charts/hot-100/2015-11-14,11/14/2015,10,Can't Feel My Face,The Weeknd,Can't Feel My FaceThe Weeknd,1,7,1,21,3:33,108
http://www.billboard.com/charts/hot-100/2015-11-21,11/21/2015,10,Like I'm Gonna Lose You,Meghan Trainor Featuring John Legend,Like I'm Gonna Lose YouMeghan Trainor Featuring John Legend,1,13,10,18,3:45,108
http://www.billboard.com/charts/hot-100/2015-11-28,11/28/2015,10,Ex's & Oh's,Elle King,Ex's & Oh'sElle King,1,12,10,19,3:22,140
http://www.billboard.com/charts/hot-100/2015-12-05,12/5/2015,10,Here,Alessia Cara,HereAlessia Cara,1,11,10,16,3:19,120
http://www.billboard.com/charts/hot-100/2015-12-12,12/12/2015,10,Here,Alessia Cara,HereAlessia Cara,1,10,10,17,3:19,120
http://www.billboard.com/charts/hot-100/2015-12-19,12/19/2015,10,Same Old Love,Selena Gomez,Same Old LoveSelena Gomez,1,11,10,12,3:49,98
http://www.billboard.com/charts/hot-100/2015-12-26,12/26/2015,10,Like I'm Gonna Lose You,Meghan Trainor Featuring John Legend,Like I'm Gonna Lose YouMeghan Trainor Featuring John Legend,1,9,8,23,3:45,108
http://www.billboard.com/charts/hot-100/2016-01-02,1/2/2016,10,Like I'm Gonna Lose You,Meghan Trainor Featuring John Legend,Like I'm Gonna Lose YouMeghan Trainor Featuring John Legend,1,10,8,24,3:45,108
http://www.billboard.com/charts/hot-100/2016-01-09,1/9/2016,10,Like I'm Gonna Lose You,Meghan Trainor Featuring John Legend,Like I'm Gonna Lose YouMeghan Trainor Featuring John Legend,1,10,8,25,3:45,108
http://www.billboard.com/charts/hot-100/2016-01-16,1/16/2016,10,Like I'm Gonna Lose You,Meghan Trainor Featuring John Legend,Like I'm Gonna Lose YouMeghan Trainor Featuring John Legend,1,10,8,26,3:45,108
http://www.billboard.com/charts/hot-100/2016-01-23,1/23/2016,10,Like I'm Gonna Lose You,Meghan Trainor Featuring John Legend,Like I'm Gonna Lose YouMeghan Trainor Featuring John Legend,1,10,8,27,3:45,108
http://www.billboard.com/charts/hot-100/2016-01-30,1/30/2016,10,What Do You Mean?,Justin Bieber,What Do You Mean?Justin Bieber,1,8,1,20,3:25,125
http://www.billboard.com/charts/hot-100/2016-02-06,2/6/2016,10,What Do You Mean?,Justin Bieber,What Do You Mean?Justin Bieber,1,10,1,21,3:25,125
http://www.billboard.com/charts/hot-100/2016-02-13,2/13/2016,10,Here,Alessia Cara,HereAlessia Cara,1,5,5,26,3:19,120
http://www.billboard.com/charts/hot-100/2016-02-20,2/20/2016,10,"Me, Myself & I",G-Eazy x Bebe Rexha,"Me, Myself & IG-Eazy x Bebe Rexha",1,12,10,14,4:11,112
http://www.billboard.com/charts/hot-100/2016-02-27,2/27/2016,10,Stitches,Shawn Mendes,StitchesShawn Mendes,1,11,4,38,3:26,150
http://www.billboard.com/charts/hot-100/2016-03-05,3/5/2016,10,Cake By The Ocean,DNCE,Cake By The OceanDNCE,1,11,10,18,3:39,119
http://www.billboard.com/charts/hot-100/2016-03-12,3/12/2016,10,Roses,The Chainsmokers Featuring Rozes,RosesThe Chainsmokers Featuring Rozes,1,9,6,19,3:46,100
http://www.billboard.com/charts/hot-100/2016-03-19,3/19/2016,10,Cake By The Ocean,DNCE,Cake By The OceanDNCE,1,9,9,20,3:39,119
http://www.billboard.com/charts/hot-100/2016-03-26,3/26/2016,10,I Took A Pill In Ibiza,Mike Posner,I Took A Pill In IbizaMike Posner,1,14,10,8,3:17,102
http://www.billboard.com/charts/hot-100/2016-04-02,4/2/2016,10,Dangerous Woman,Ariana Grande,Dangerous WomanAriana Grande,1,,10,1,3:55,134
http://www.billboard.com/charts/hot-100/2016-04-09,4/9/2016,10,I Took A Pill In Ibiza,Mike Posner,I Took A Pill In IbizaMike Posner,1,11,10,10,3:17,102
http://www.billboard.com/charts/hot-100/2016-04-16,4/16/2016,10,Work From Home,Fifth Harmony Featuring Ty Dolla $ign,Work From HomeFifth Harmony Featuring Ty Dolla $ign,1,12,10,5,3:34,105
http://www.billboard.com/charts/hot-100/2016-04-23,4/23/2016,10,"Me, Myself & I",G-Eazy x Bebe Rexha,"Me, Myself & IG-Eazy x Bebe Rexha",1,8,7,23,4:11,112
http://www.billboard.com/charts/hot-100/2016-04-30,4/30/2016,10,"Me, Myself & I",G-Eazy x Bebe Rexha,"Me, Myself & IG-Eazy x Bebe Rexha",1,10,7,24,4:11,112
http://www.billboard.com/charts/hot-100/2016-05-07,5/7/2016,10,"Me, Myself & I",G-Eazy x Bebe Rexha,"Me, Myself & IG-Eazy x Bebe Rexha",1,10,7,25,4:11,112
http://www.billboard.com/charts/hot-100/2016-05-14,5/14/2016,10,Formation,Beyonce,FormationBeyonce,1,,10,1,3:26,122
http://www.billboard.com/charts/hot-100/2016-05-21,5/21/2016,10,Love Yourself,Justin Bieber,Love YourselfJustin Bieber,1,15,1,25,3:53,103
http://www.billboard.com/charts/hot-100/2016-05-28,5/28/2016,10,Needed Me,Rihanna,Needed MeRihanna,1,13,10,15,3:11,111
http://www.billboard.com/charts/hot-100/2016-06-04,6/4/2016,10,Needed Me,Rihanna,Needed MeRihanna,1,10,10,16,3:11,111
